Awardee,Estimated Total Award Amount,Agency
GEORGETOWN UNIVERSITY (THE),"$330,000",NSF
SYRACUSE UNIVERSITY,"$650,000",NSF
ARPHION LTD.,"$225,000",NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,"$390,000",NSF
"MARIETTA, GEOFF E","$150,000",NSF
CARNEGIE INSTITUTION OF WASHINGTON,,NASA
REGENTS OF THE UNIVERSITY OF MINNESOTA,,NASA
WILLIAM MARSH RICE UNIVERSITY,"$501,730",NSF
SOUTHERN ILLINOIS UNIVERSITY,"$35,000",NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,"$525,000",NSF
MISSISSIPPI STATE UNIVERSITY,"$295,319",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$500,000",NSF
TRUSTEES OF BOSTON UNIVERSITY,"$216,079",NSF
THE UNIVERSITY OF AKRON,"$321,000",NSF
TEXAS CHRISTIAN UNIVERSITY INC,"$216,458",NSF
UNIVERSITY OF MISSOURI SYSTEM,"$321,000",NSF
LOUISIANA STATE UNIVERSITY SYSTEM,"$43,000",NSF
TRUSTEES OF DARTMOUTH COLLEGE,,NASA
REGENTS OF THE UNIVERSITY OF MICHIGAN,,NASA
SMITHSONIAN INSTITUTION,,NASA
PLANETARY SCIENCE INSTITUTE,,NASA
"OHIO STATE UNIVERSITY, THE",,NASA
REGENTS OF THE UNIVERSITY OF MICHIGAN,,NASA
UNIVERSITY OF KENTUCKY,"$31,452",NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK,"$400,001",NSF
CARNEGIE MELLON UNIVERSITY,"$185,492",NSF
"CORNELL UNIVERSITY, INC","$49,500",NSF
EYENETRA INC.,"$149,116",NSF
UNIVERSITY OF CENTRAL FLORIDA,"$133,406",NSF
"CHIRP MICROSYSTEMS, INC.","$150,000",NSF
UNIVERSITY OF CALIFORNIA MERCED,"$296,703",NSF
WESTERN MICHIGAN UNIVERSITY,"$171,970",NSF
UNIVERSITY OF WISCONSIN SYSTEM,"$8,000",NSF
RENSSELAER POLYTECHNIC INSTITUTE,"$540,000",NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,"$49,000",NSF
MATERIALS RESEARCH SOCIETY,"$10,000",NSF
"PENNSYLVANIA STATE UNIVERSITY, THE","$575,000",NSF
CLEMSON UNIVERSITY,"$7,500",NSF
UNIVERSITY OF CINCINNATI,"$15,408",NSF
WASHINGTON STATE UNIVERSITY,"$198,250",NSF
UNIVERSITY OF MARYLAND,"$33,400",NSF
UNIVERSITY OF CONNECTICUT,"$317,941",NSF
UNIVERSITY OF ALABAMA IN HUNTSVILLE,,NASA
"ALPERIN NONINVASIVE DIAGNOSTICS, INC",,NASA
SOUTHWEST RESEARCH INSTITUTE,,NASA
UNIVERSITY OF MARYLAND,,NASA
CALIFORNIA INSTITUTE OF TECHNOLOGY,,NASA
UNIVERSITY OF WISCONSIN SYSTEM,"$277,335",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$375,000",NSF
SYRACUSE UNIVERSITY,"$800,000",NSF
ARIZONA STATE UNIVERSITY,"$45,000",NSF
UNIVERSITY OF NOTRE DAME DU LAC,"$444,182",NSF
PLANETARY SCIENCE INSTITUTE,,NASA
"IMAGINARY LINES, INC.",,NASA
DONALD DANFORTH PLANT SCIENCE CENTER,"$1,020,000",NSF
"TRUSTEES OF PRINCETON UNIVERSITY, THE","$73,212",NSF
GEORGIA TECH RESEARCH CORPORATION,"$195,866",NSF
UNIVERSITY OF SOUTHERN CALIFORNIA,"$554,365",NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"$720,669",NSF
SOUTHERN ILLINOIS UNIVERSITY,"$225,000",NSF
UNIVERSITY OF NOTRE DAME DU LAC,"$44,000",NSF
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF","$300,000",NSF
