GEORGETOWN UNIVERSITY (THE),120000.00,NSF
SYRACUSE UNIVERSITY,390000.00,NSF
ARPHION LTD.,225000.00,NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,390000.00,NSF
"MARIETTA, GEOFF E",150000.00,NSF
CARNEGIE INSTITUTION OF WASHINGTON,15875.00,NASA
REGENTS OF THE UNIVERSITY OF MINNESOTA,19972.00,NASA
WILLIAM MARSH RICE UNIVERSITY,97448.00,NSF
SOUTHERN ILLINOIS UNIVERSITY,35000.00,NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,105000.00,NSF
MISSISSIPPI STATE UNIVERSITY,139255.00,NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,100000.00,NSF
TRUSTEES OF BOSTON UNIVERSITY,216079.00,NSF
THE UNIVERSITY OF AKRON,107000.00,NSF
TEXAS CHRISTIAN UNIVERSITY INC,143690.00,NSF
UNIVERSITY OF MISSOURI SYSTEM,107000.00,NSF
LOUISIANA STATE UNIVERSITY SYSTEM,43000.00,NSF
TRUSTEES OF DARTMOUTH COLLEGE,80584.00,NASA
REGENTS OF THE UNIVERSITY OF MICHIGAN,36000.00,NASA
SMITHSONIAN INSTITUTION,86010.00,NASA
PLANETARY SCIENCE INSTITUTE,117489.00,NASA
"OHIO STATE UNIVERSITY, THE",39741.00,NASA
REGENTS OF THE UNIVERSITY OF MICHIGAN,37000.00,NASA
UNIVERSITY OF KENTUCKY,31452.00,NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK,400001.00,NSF
CARNEGIE MELLON UNIVERSITY,185492.00,NSF
"CORNELL UNIVERSITY, INC",49500.00,NSF
EYENETRA INC.,149116.00,NSF
UNIVERSITY OF CENTRAL FLORIDA,133406.48,NSF
"CHIRP MICROSYSTEMS, INC.",150000.00,NSF
UNIVERSITY OF CALIFORNIA MERCED,296703.00,NSF
WESTERN MICHIGAN UNIVERSITY,171970.00,NSF
UNIVERSITY OF WISCONSIN SYSTEM,8000.00,NSF
RENSSELAER POLYTECHNIC INSTITUTE,108000.00,NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,49000.00,NSF
MATERIALS RESEARCH SOCIETY,10000.00,NSF
"PENNSYLVANIA STATE UNIVERSITY, THE",115000.00,NSF
CLEMSON UNIVERSITY,7500.00,NSF
UNIVERSITY OF CINCINNATI,15408.00,NSF
WASHINGTON STATE UNIVERSITY,198250.00,NSF
UNIVERSITY OF MARYLAND,33400.00,NSF
UNIVERSITY OF CONNECTICUT,329941.25,NSF
UNIVERSITY OF ALABAMA IN HUNTSVILLE,340000.00,NASA
"ALPERIN NONINVASIVE DIAGNOSTICS, INC",75000.00,NASA
SOUTHWEST RESEARCH INSTITUTE,52254.00,NASA
UNIVERSITY OF MARYLAND,5404.00,NASA
CALIFORNIA INSTITUTE OF TECHNOLOGY,82081.00,NASA
UNIVERSITY OF WISCONSIN SYSTEM,277335.00,NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",375000.00,NSF
SYRACUSE UNIVERSITY,160000.00,NSF
ARIZONA STATE UNIVERSITY,45000.00,NSF
UNIVERSITY OF NOTRE DAME DU LAC,444182.00,NSF
PLANETARY SCIENCE INSTITUTE,81650.00,NASA
"IMAGINARY LINES, INC.",300000.00,NASA
DONALD DANFORTH PLANT SCIENCE CENTER,340000.00,NSF
