"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"HIV_0000000006","PUBLISHED","2001","EMR","AFG","<200 [<100-<500]","","","",""
"HIV_0000000006","PUBLISHED","2001","AFR","AGO"," 8 200 [5 400-13 000]","8200","5400","13000",""
"HIV_0000000006","PUBLISHED","2001","AMR","ARG","? ","0","","",""
"HIV_0000000006","PUBLISHED","2001","AFR","BDI","13 000 [11 000-16 000]","13000","11000","16000",""
"HIV_0000000006","PUBLISHED","2001","EUR","BEL","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2001","AFR","BEN"," 6 400 [3 200- 9 000]","6400","3200","9000",""
"HIV_0000000006","PUBLISHED","2001","AFR","BFA","15 000 [12 000-18 000]","15000","12000","18000",""
"HIV_0000000006","PUBLISHED","2001","AMR","BLZ","<500 [<100-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2001","AMR","BOL"," 2 200 [1 300- 3 600]","2200","1300","3600",""
"HIV_0000000006","PUBLISHED","2001","AMR","BRA","11 000 [5 200-17 000]","11000","5200","17000",""
"HIV_0000000006","PUBLISHED","2001","AMR","BRB","<100 [<100-<200]","","","",""
"HIV_0000000006","PUBLISHED","2001","AMR","CHL","? ","0","","",""
"HIV_0000000006","PUBLISHED","2001","WPR","CHN","?","0","","",""
"HIV_0000000006","PUBLISHED","2001","AFR","CIV","50 000 [42 000-60 000]","50000","42000","60000",""
"HIV_0000000006","PUBLISHED","2001","AFR","CMR","28 000 [24 000-33 000]","28000","24000","33000",""
"HIV_0000000006","PUBLISHED","2001","AFR","CPV","<500 [<200-<500]","","","",""
"HIV_0000000006","PUBLISHED","2001","AMR","CRI","<200 [<100-<200]","","","",""
"HIV_0000000006","PUBLISHED","2001","AMR","CUB","<500 [<200-<500]","","","",""
"HIV_0000000006","PUBLISHED","2001","EUR","CZE","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2001","AFR","DZA","? [<200-<500]","0","","",""
"HIV_0000000006","PUBLISHED","2001","AMR","ECU"," 2 200 [<500- 6 800]","2200","","6800",""
"HIV_0000000006","PUBLISHED","2001","EMR","EGY","<500 [<200-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2001","AFR","ERI"," 1 500 [<1000- 3 800]","1500","","3800",""
"HIV_0000000006","PUBLISHED","2001","EUR","ESP"," 2 100 [1 800- 2 300]","2100","1800","2300",""
"HIV_0000000006","PUBLISHED","2001","EUR","FRA"," 1 800 [1 500- 2 100]","1800","1500","2100",""
"HIV_0000000006","PUBLISHED","2001","AFR","GAB"," 2 100 [1 300- 3 000]","2100","1300","3000",""
"HIV_0000000006","PUBLISHED","2001","EUR","GBR","<500 [<500-<500]","","","",""
"HIV_0000000006","PUBLISHED","2001","EUR","GEO","<100 [<100-<500]","","","",""
"HIV_0000000006","PUBLISHED","2001","AFR","GNQ","<500 [<500-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2001","EUR","GRC","<200 [<200-<500]","","","",""
"HIV_0000000006","PUBLISHED","2001","AMR","GTM"," 1 700 [<200- 6 400]","1700","","6400",""
"HIV_0000000006","PUBLISHED","2001","AMR","GUY","<1000 [<500-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2001","SEAR","IDN","<200 [<100- 2 600]","","","2600",""
"HIV_0000000006","PUBLISHED","2001","SEAR","IND","?","0","","",""
"HIV_0000000006","PUBLISHED","2001","EUR","IRL","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2001","EMR","IRN"," 3 200 [2 400- 4 100]","3200","2400","4100",""
"HIV_0000000006","PUBLISHED","2001","EUR","ISL","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2001","EUR","KAZ","<500 [<500-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2001","AFR","KEN","130 000 [120 000-140 000]","130000","120000","140000",""
"HIV_0000000006","PUBLISHED","2001","EUR","KGZ","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2001","WPR","KHM"," 7 300 [4 900-10 000]","7300","4900","10000",""
"HIV_0000000006","PUBLISHED","2001","SEAR","LKA","<200 [<100-13 000]","","","13000",""
"HIV_0000000006","PUBLISHED","2001","AFR","LSO","15 000 [14 000-17 000]","15000","14000","17000",""
