TEXT	 0 = non relevant /contextual----  1= Peace ----- 2= Patriotism/Land ------ 3= Blood/War/Battle ------- 4= Pride  ------- 5= National Resources/Beauty of the Land ------------ 6 = Freedom/Prosperity	TRANSLATION
Allons	0	0
enfants	2	0
de	2	0
la	2	0
Patrie,%	2	0
Le	4	0
jour	4	0
de	4	0
gloire	4	0
est	4	0
arrivé!%	4	0
Contre	3	0
nous	3	0
de	3	0
la	3	0
tyrannie,%	3	0
L'étendard	2	0
sanglant	2	0
est	2	0
levé,%	2	0
Entendez-vous	0	0
dans	0	0
les	5	0
campagnes%	5	0
Mugir	3	0
ces	3	0
féroces	3	0
soldats?%	3	0
Ils	3	0
viennent	3	0
jusque	3	0
dans	3	0
vos	3	0
bras%	3	0
Égorger	3	0
vos	3	0
fils,	3	0
vos	3	0
compagnes!&%	3	0
Aux	3	0
armes,	3	0
citoyens,%	2	0
Formez	3	0
vos	3	0
bataillons,%	3	0
Marchons,	3	0
marchons!%	3	0
Qu'un	3	0
sang	3	0
impur%	3	0
Abreuve	3	0
nos	3	0
sillons!&%	3	0
Que	3	0
veut	3	0
cette	3	0
horde	3	0
d'esclaves,%	3	0
De	3	0
traîtres,	2	0
de	2	0
rois	2	0
conjurés?%	2	0
Pour	0	0
qui	0	0
ces	0	0
ignobles	0	0
entraves,%	0	0
Ces	3	0
fers	3	0
dès	3	0
longtemps	3	0
préparés?%	3	0
Français,	2	0
pour	2	0
nous,	2	0
ah!	2	0
quel	0	0
outrage!%	0	0
Quels	0	0
transports	0	0
il	0	0
doit	0	0
exciter!%	0	0
C'est	0	0
nous	0	0
qu'on	0	0
ose	0	0
méditer%	0	0
De	0	0
rendre	0	0
à	0	0
l'antique	3	0
esclavage!&%	3	0
Quoi!	0	0
des	3	0
cohortes	3	0
étrangères%	3	0
Feraient	2	0
la	2	0
loi	2	0
dans	2	0
nos	2	0
foyers!%	2	0
Quoi!	0	0
ces	3	0
phalanges	3	0
mercenaires%	3	0
Terrasseraient	3	0
nos	3	0
fiers	3	0
guerriers!%	3	0
Grand	0	0
Dieu!	0	0
par	0	0
des	0	0
mains	3	0
enchaînées%	3	0
Nos	3	0
fronts	3	0
sous	3	0
le	3	0
joug	3	0
se	3	0
ploieraient%	3	0
De	3	0
vils	3	0
despotes	3	0
deviendraient%	3	0
Les	2	0
maîtres	2	0
de	2	0
nos	2	0
destinées!&%	2	0
Tremblez,	2	0
tyrans	2	0
et	2	0
vous	2	0
perfides%	2	0
L'opprobre	0	0
de	0	0
tous	0	0
les	0	0
partis,%	0	0
Tremblez!	3	0
vos	3	0
projets	3	0
parricides%	3	0
Vont	3	0
enfin	3	0
recevoir	3	0
leurs	3	0
prix!%	3	0
Tout	3	0
est	3	0
soldat	3	0
pour	3	0
vous	3	0
combattre,%	3	0
S'ils	3	0
tombent,	3	0
nos	3	0
jeunes	3	0
héros,%	3	0
La	5	0
terre	5	0
en	5	0
produit	5	0
de	5	0
nouveaux,%	5	0
Contre	3	0
vous	3	0
tout	3	0
prêts	3	0
à	3	0
se	3	0
battre!&%	3	0
Français,	2	0
en	3	0
guerriers	3	0
magnanimes,%	3	0
Portez	3	0
ou	3	0
retenez	3	0
vos	3	0
coups!%	3	0
Épargnez	3	0
ces	3	0
tristes	3	0
victimes,%	3	0
À	3	0
regret	3	0
s'armant	3	0
contre	3	0
nous.%	3	0
Mais	3	0
ces	3	0
despotes	3	0
sanguinaires,%	3	0
Mais	0	0
ces	0	0
complices	0	0
de	0	0
Bouillé,%	0	0
Tous	3	0
ces	3	0
tigres	3	0
qui,	3	0
sans	3	0
pitié,%	3	0
Déchirent	3	0
le	3	0
sein	3	0
de	3	0
leur	3	0
mère!&%	3	0
Amour	2	0
sacré	2	0
de	2	0
la	2	0
Patrie,%	2	0
Conduis,	3	0
soutiens	3	0
nos	3	0
bras	3	0
vengeurs%	3	0
Liberté,	6	0
Liberté	6	0
chérie,%	6	0
Combats	3	0
avec	3	0
tes	3	0
défenseurs!%	3	0
Sous	2	0
nos	2	0
drapeaux	2	0
que	3	0
la	3	0
victoire%	3	0
Accoure	3	0
à	3	0
tes	3	0
mâles	3	0
accents,%	3	0
Que	3	0
tes	3	0
ennemis	3	0
expirants%	3	0
Voient	3	0
ton	3	0
triomphe	3	0
et	3	0
notre	3	0
gloire!&%	3	0
