TEXT	GREY = 0 non relevant; WHITE: Peace and Harmony = 1; GREEN: Hope and Prosperity = 2; RED: Blood of the heroes= 3	TRANSLATION
Ouviram	0	0
do	0	0
Ipiranga	0	0
as	0	0
margens	0	0
plácidas%	0	0
De	0	0
um	0	0
povo	0	0
heroico	0	0
o	0	0
brado	0	0
retumbante,%	0	0
E	0	0
o	0	0
sol	0	0
da	0	0
Liberdade,	0	0
em	0	0
raios	0	0
fúlgidos,%	0	0
Brilhou	0	0
no	0	0
céu	0	0
da	0	0
Pátria	0	0
nesse	0	0
instante.&%	0	0
Se	0	0
o	0	0
penhor	0	0
dessa	0	0
igualdade%	0	0
Conseguimos	0	0
conquistar	0	0
com	0	0
braço	0	0
forte,%	0	0
Em	0	0
teu	0	0
seio,	0	0
ó	0	0
Liberdade,%	0	0
Desafia	0	0
o	0	0
nosso	0	0
peito	0	0
a	0	0
própria	0	0
morte!%	0	0
Ó	0	0
Pátria	0	0
amada,%	0	0
Idolatrada,%	0	0
Salve!	0	0
Salve!&%	0	0
Brasil,	0	0
um	0	0
sonho	0	0
intenso,	0	0
um	0	0
raio	0	0
vívido,%	0	0
De	0	0
amor	0	0
e	0	0
de	0	0
esperança	0	0
à	0	0
terra	0	0
desce,%	0	0
Se	0	0
em	0	0
teu	0	0
formoso	0	0
céu,	0	0
risonho	0	0
e	0	0
límpido,%	0	0
A	0	0
imagem	0	0
do	0	0
Cruzeiro	0	0
resplandece.&%	0	0
Gigante	0	0
pela	0	0
própria	0	0
natureza,%	0	0
És	0	0
belo,	0	0
és	0	0
forte,	0	0
impávido	0	0
colosso,%	0	0
E	0	0
o	0	0
teu	0	0
futuro	0	0
espelha	0	0
essa	0	0
grandeza.&%	0	0
Terra	0	0
adorada%	0	0
Entre	0	0
outras	0	0
mil%	0	0
És	0	0
tu,	0	0
Brasil,%	0	0
Ó	0	0
Pátria	0	0
amada!&%	0	0
Dos	0	0
filhos	0	0
deste	0	0
solo%	0	0
És	0	0
mãe	0	0
gentil,%	0	0
Pátria	0	0
amada,%	0	0
Brasil!&%	0	0
Deitado	0	0
eternamente	0	0
em	0	0
berço	0	0
esplêndido,%	0	0
Ao	0	0
som	0	0
do	0	0
mar	0	0
e	0	0
à	0	0
luz	0	0
do	0	0
céu	0	0
profundo,%	0	0
Fulguras,	0	0
ó	0	0
Brasil,	0	0
florão	0	0
da	0	0
América,%	0	0
Iluminado	0	0
ao	0	0
sol	0	0
do	0	0
Novo	0	0
Mundo!&%	0	0
Do	0	0
que	0	0
a	0	0
terra	0	0
mais	0	0
garrida%	0	0
Teus	0	0
risonhos,	0	0
lindos	0	0
campos	0	0
têm	0	0
mais	0	0
flores,%	0	0
Nossos	0	0
bosques	0	0
têm	0	0
mais	0	0
vida,%	0	0
Nossa	0	0
vida	0	0
no	0	0
teu	0	0
seio	0	0
mais 	0	0
amores.&%	0	0
Ó	0	0
Pátria	0	0
amada,%	0	0
Idolatrada,%	0	0
Salve!	0	0
Salve!%&	0	0
Brasil,	0	0
de	0	0
amor	0	0
eterno	0	0
seja	0	0
símbolo%	0	0
O	0	0
lábaro	0	0
que	0	0
ostentas	0	0
estrelado,%	0	0
E	0	0
diga	0	0
o	0	0
verde-louro	0	0
dessa	0	0
flâmula%	0	0
Paz	0	0
no	0	0
futuro	0	0
e	0	0
glória	0	0
no	0	0
passado.&%	0	0
Mas	0	0
se	0	0
ergues	0	0
da	0	0
justiça	0	0
a	0	0
clava	0	0
forte,%	0	0
Verás	0	0
que	0	0
um	0	0
filho	0	0
teu	0	0
não	0	0
foge	0	0
à	0	0
luta,%	0	0
Nem	0	0
teme,	0	0
quem	0	0
te	0	0
adora,	0	0
a	0	0
própria	0	0
morte.&%	0	0
Terra	0	0
adorada%	0	0
Entre	0	0
outras	0	0
mil%	0	0
És	0	0
tu,	0	0
Brasil,%	0	0
Ó	0	0
Pátria	0	0
amada!&%	0	0
Dos	0	0
filhos	0	0
deste	0	0
solo%	0	0
És	0	0
mãe	0	0
gentil,%	0	0
Pátria	0	0
amada,%	0	0
Brasil!&%	0	0
