TEXT	GREY = 0 non relevant; WHITE: Peace and Harmony = 1; GREEN: Hope and Prosperity = 2; RED: Blood of the heroes= 3	TRANSLATION
Mexicanos,	0	0
al	0	0
grito	3	Shout of war
de	3	Shout of war
guerra,%	3	Shout of war
El	3	Ready your steel
acero	3	Ready your steel
aprestad	3	Ready your steel
y	0	0
el	0	0
bridón,%	0	0
Y	0	0
retiemble	3	The Earth may tremble at its core
en	3	The Earth may tremble at its core
sus	3	The Earth may tremble at its core
centros	3	The Earth may tremble at its core
la	3	The Earth may tremble at its core
tierra,%	3	The Earth may tremble at its core
Al	0	0
sonoro	0	0
rugir	3	Roar of the cannon.
del	3	Roar of the cannon.
cañón.%	3	Roar of the cannon.
¡Y	0	0
retiemble	3	The Earth may tremble at its core
en	3	The Earth may tremble at its core
sus	3	The Earth may tremble at its core
centros	3	The Earth may tremble at its core
la	3	The Earth may tremble at its core
tierra!%	3	The Earth may tremble at its core
Al	0	0
sonoro	0	0
rugir	3	Roar of the cannon.
del	3	Roar of the cannon.
cañón.&%	3	Roar of the cannon.
Ciña	0	0
¡Oh	2	Oh Fatherland!
Patria!	2	Oh Fatherland!
tus	0	0
sienes	0	0
de	0	0
oliva%	0	0
de	0	0
la	1	The Peace of the Divine Archaengel
paz	1	The Peace of the Divine Archaengel
del	1	The Peace of the Divine Archaengel
arcángel	1	The Peace of the Divine Archaengel
divino,%	1	The Peace of the Divine Archaengel
que	0	0
en	0	0
el	0	0
cielo	1	Heaven
tu	2	Your Eternal Destiny
eterno	2	Your Eternal Destiny
destino%	2	Your Eternal Destiny
por	0	0
el	0	0
dedo	0	0
de	0	0
Dios	1	God
se	0	0
escribió.%	0	0
Mas	0	0
si	0	0
osare	0	0
un	0	0
extraño	3	Strange Enemy
enemigo%	3	Strange Enemy
profanar	3	Profane this grounds
con	3	Profane this grounds
su	3	Profane this grounds
planta	3	Profane this grounds
tu	3	Profane this grounds
suelo,%	3	Profane this grounds
piensa	0	0
¡Oh	2	Oh dear Fatherland!
Patria	2	Oh dear Fatherland!
querida!	2	Oh dear Fatherland!
que	0	0
el	0	0
cielo%	1	Heaven
un	3	There is a soldier in all of your sons
soldado	3	There is a soldier in all of your sons
en	3	There is a soldier in all of your sons
cada	3	There is a soldier in all of your sons
hijo	3	There is a soldier in all of your sons
te	0	0
dio.%	0	0
¡Un	3	There is a soldier in all of your sons
soldado	3	There is a soldier in all of your sons
en	3	There is a soldier in all of your sons
cada	3	There is a soldier in all of your sons
hijo	3	There is a soldier in all of your sons
te	0	0
dio!&%	0	0
En	0	0
sangrientos	3	Bloody Combats
combates	3	Bloody Combats
los	0	0
viste%	0	0
por	0	0
tu	0	0
amor	1	Palpitating Love
palpitando	1	Palpitating Love
sus	0	0
senos,%	0	0
arrostrar	3	Face the Shrapnel
la	3	Face the Shrapnel
metralla	3	Face the Shrapnel
serenos,%	1	Serenity
y	0	0
la	2	Death and Glory
muerte	2	Death and Glory
o	2	Death and Glory
la	2	Death and Glory
gloria	2	Death and Glory
buscar.%	0	0
Si	0	0
el	0	0
recuerdo	2	Memories
de	0	0
antiguas	2	Old Heroic Feats
hazañas,%	2	Old Heroic Feats
de	0	0
tus	0	0
hijos	0	0
inflama	0	0
la	0	0
mente,%	0	0
los	0	0
laureles	2	Laurels of trumph
del	2	Laurels of trumph
triunfo,	2	Laurels of trumph
tu	0	0
frente,%	0	0
volverán	0	0
inmortales	2	Immortal 
a	0	0
ornar.%	0	0
¡Volverán	0	0
inmortales	2	Immortal
a	0	0
ornar!&%	0	0
Como	0	0
al	0	0
golpe	3	Strike of a Thunder
del	3	Strike of a Thunder
rayo	3	Strike of a Thunder
la	0	0
encina%	0	0
se	0	0
derrumba	3	Collapse
hasta	0	0
