TEXT	GREY = 0 non relevant; WHITE: Peace and Harmony = 1; GREEN: Hope and Prosperity = 2; RED: Blood of the heroes= 3	TRANSLATION
O	0	0
say,	0	0
can	0	0
you	0	0
see,	0	0
by	0	0
the	0	0
dawn's	0	0
early	0	0
light,%	0	0
What	0	0
so	0	0
proudly	0	0
we	0	0
hailed	0	0
at	0	0
the	0	0
twilight's	0	0
last	0	0
gleaming,%	0	0
Whose	0	0
broad	0	0
stripes	0	0
and	0	0
bright	0	0
stars,	0	0
through	0	0
the	0	0
perilous	0	0
fight,%	0	0
O'er	0	0
the	0	0
ramparts	0	0
we	0	0
watched	0	0
were	0	0
so	0	0
gallantly	0	0
streaming?%	0	0
And	0	0
the	0	0
rockets'	0	0
red	0	0
glare,	0	0
the	0	0
bombs	0	0
bursting	0	0
in	0	0
air,%	0	0
Gave	0	0
proof	0	0
through	0	0
the	0	0
night	0	0
that	0	0
our	0	0
flag	0	0
was	0	0
still	0	0
there.%	0	0
O	0	0
say,	0	0
does	0	0
that	0	0
star-spangled	0	0
banner	0	0
yet	0	0
wave%	0	0
O'er	0	0
the	0	0
land	0	0
of	0	0
the	0	0
free,	0	0
and	0	0
the	0	0
home	0	0
of	0	0
the	0	0
brave?&%	0	0
On	0	0
the	0	0
shore,	0	0
dimly	0	0
seen	0	0
thro'	0	0
the	0	0
mists	0	0
of	0	0
the	0	0
deep,%	0	0
Where	0	0
the	0	0
foe's	0	0
haughty	0	0
host	0	0
in	0	0
dread	0	0
silence	0	0
reposes,%	0	0
What	0	0
is	0	0
that	0	0
which	0	0
the	0	0
breeze,	0	0
o'er	0	0
the	0	0
towering	0	0
steep,%	0	0
As	0	0
it	0	0
fitfully	0	0
blows,	0	0
half	0	0
conceals,	0	0
half	0	0
discloses?%	0	0
Now	0	0
it	0	0
catches	0	0
the	0	0
gleam	0	0
of	0	0
the	0	0
morning's	0	0
first	0	0
beam,%	0	0
In	0	0
full	0	0
glory	0	0
reflected	0	0
now	0	0
shines	0	0
in	0	0
the	0	0
stream:%	0	0
Tis	0	0
the	0	0
star-spangled	0	0
banner!	0	0
O	0	0
long	0	0
may	0	0
it	0	0
wave%	0	0
O'er	0	0
the	0	0
land	0	0
of	0	0
the	0	0
free	0	0
and	0	0
the	0	0
home	0	0
of	0	0
the	0	0
brave!&%	0	0
And	0	0
where	0	0
is	0	0
that	0	0
band	0	0
who	0	0
so	0	0
vauntingly	0	0
swore%	0	0
That	0	0
the	0	0
havoc	0	0
of	0	0
war	0	0
and	0	0
the	0	0
battle's	0	0
confusion%	0	0
A	0	0
home	0	0
and	0	0
a	0	0
country	0	0
should	0	0
leave	0	0
us	0	0
no	0	0
more!%	0	0
Their	0	0
blood	0	0
has	0	0
washed	0	0
out	0	0
their	0	0
foul	0	0
footsteps'	0	0
pollution.%	0	0
No	0	0
refuge	0	0
could	0	0
save	0	0
the	0	0
hireling	0	0
and	0	0
slave%	0	0
From	0	0
the	0	0
terror	0	0
of	0	0
flight,	0	0
or	0	0
the	0	0
gloom	0	0
of	0	0
the	0	0
grave:%	0	0
And	0	0
the	0	0
star-spangled	0	0
banner,	0	0
in	0	0
triumph	0	0
doth	0	0
wave%	0	0
O'er	0	0
the	0	0
land	0	0
of	0	0
the	0	0
free	0	0
and	0	0
the	0	0
home	0	0
of	0	0
the	0	0
brave!&%	0	0
O	0	0
thus	0	0
be	0	0
it	0	0
ever	0	0
when	0	0
freemen	0	0
shall	0	0
stand%	0	0
Between	0	0
their	0	0
loved	0	0
home	0	0
and	0	0
the	0	0
war's	0	0
desolation!%	0	0
Blest	0	0
with	0	0
victory	0	0
and	0	0
peace,	0	0
may	0	0
the	0	0
Heav'n-rescued	0	0
land%	0	0
Praise	0	0
the	0	0
Power	0	0
that	0	0
hath	0	0
made	0	0
and	0	0
preserved	0	0
us	0	0
a	0	0
nation.%	0	0
Then	0	0
conquer	0	0
we	0	0
must,	0	0
when	0	0
our	0	0
cause	0	0
it	0	0
is	0	0
just,%	0	0
And	0	0
this	0	0
be	0	0
our	0	0
motto:	0	0
In	0	0
God	0	0
is	0	0
our	0	0
Trust.%	0	0
And	0	0
the	0	0
star-spangled	0	0
banner	0	0
in	0	0
triumph	0	0
shall	0	0
wave%	0	0
O'er	0	0
the	0	0
land	0	0
of	0	0
the	0	0
free	0	0
and	0	0
the	0	0
home	0	0
of	0	0
the	0	0
brave!&%	0	0
