TEXT	0 = non relevant /contextual----  1= Peace/God ----- 2= Patriotism/Victory ------ 3= Blood/War/Battle ------- 4= Pride  ------- 5= National Resources/Beauty of the Land ------------ 6 = Freedom/Prosperity/future	TRANSLATION
O	0	0
say,	0	0
can	0	0
you	0	0
see,	0	0
by	0	0
the	5	0
dawn's	5	0
early	5	0
light,%	5	0
What	0	0
so	0	0
proudly	4	0
we	4	0
hailed	4	0
at	0	0
the	3	0
twilight's	3	0
last	3	0
gleaming,%	3	0
Whose	0	0
broad	4	0
stripes	4	0
and	4	0
bright	4	0
stars,	4	0
through	3	0
the	3	0
perilous	3	0
fight,%	3	0
O'er	0	0
the	3	0
ramparts	3	0
we	3	0
watched	3	0
were	0	0
so	4	0
gallantly	4	0
streaming?%	4	0
And	0	0
the	2	0
rockets'	2	0
red	2	0
glare,	2	0
the	2	0
bombs	2	0
bursting	2	0
in	2	0
air,%	2	0
Gave	0	0
proof	0	0
through	0	0
the	0	0
night	0	0
that	0	0
our	2	0
flag	2	0
was	2	0
still	2	0
there.%	2	0
O	0	0
say,	0	0
does	0	0
that	4	0
star-spangled	4	0
banner	4	0
yet	4	0
wave%	4	0
O'er	0	0
the	6	0
land	6	0
of	6	0
the	6	0
free,	6	0
and	6	0
the	6	0
home	6	0
of	6	0
the	6	0
brave?&%	6	0
On	0	0
the	5	0
shore,	5	0
dimly	5	0
seen	5	0
thro'	0	0
the	5	0
mists	5	0
of	0	0
the	5	0
deep,%	5	0
Where	0	0
the	3	0
foe's	3	0
haughty	3	0
host	3	0
in	3	0
dread	3	0
silence	3	0
reposes,%	3	0
What	0	0
is	0	0
that	0	0
which	0	0
the	0	0
breeze,	0	0
o'er	0	0
the	0	0
towering	0	0
steep,%	0	0
As	0	0
it	0	0
fitfully	0	0
blows,	0	0
half	0	0
conceals,	0	0
half	0	0
discloses?%	0	0
Now	0	0
it	0	0
catches	0	0
the	5	0
gleam	5	0
of	5	0
the	5	0
morning's	5	0
first	5	0
beam,%	5	0
In	0	0
full	4	0
glory	4	0
reflected	4	0
now	4	0
shines	4	0
in	0	0
the	0	0
stream:%	0	0
Tis	2	0
the	2	0
star-spangled	2	0
banner!	2	0
O	0	0
long	6	0
may	6	0
it	6	0
wave%	6	0
O'er	0	0
the	6	0
land	6	0
of	6	0
the	6	0
free	6	0
and	6	0
the	6	0
home	6	0
of	6	0
the	6	0
brave!&%	6	0
And	0	0
where	0	0
is	0	0
that	0	0
band	0	0
who	0	0
so	0	0
vauntingly	0	0
swore%	0	0
That	0	0
the	3	0
havoc	3	0
of	3	0
war	3	0
and	3	0
the	3	0
battle's	3	0
confusion%	3	0
A	6	0
home	6	0
and	6	0
a	6	0
country	6	0
should	6	0
leave	6	0
us	6	0
no	6	0
more!%	6	0
Their	3	0
blood	3	0
has	3	0
washed	3	0
out	3	0
their	3	0
foul	3	0
footsteps'	3	0
pollution.%	3	0
No	3	0
refuge	3	0
could	3	0
save	3	0
the	3	0
hireling	3	0
and	3	0
slave%	3	0
From	3	0
the	3	0
terror	3	0
of	3	0
flight,	3	0
or	3	0
the	3	0
gloom	3	0
of	3	0
the	3	0
grave:%	3	0
And	0	0
the	2	0
star-spangled	2	0
banner,	2	0
in	2	0
triumph	2	0
doth	2	0
wave%	2	0
O'er	0	0
the	6	0
land	6	0
of	6	0
the	6	0
free	6	0
and	6	0
the	6	0
home	6	0
of	6	0
the	6	0
brave!&%	6	0
O	0	0
thus	0	0
be	0	0
it	0	0
ever	0	0
when	6	0
freemen	6	0
shall	6	0
stand%	6	0
Between	6	0
their	6	0
loved	6	0
home	6	0
and	0	0
the	3	0
war's	3	0
desolation!%	3	0
Blest	2	0
with	2	0
victory	2	0
and	1	0
peace,	1	0
may	1	0
the	1	0
Heav'n-rescued	1	0
land%	1	0
Praise	1	0
the	1	0
Power	1	0
that	1	0
hath	1	0
made	1	0
and	1	0
preserved	1	0
us	1	0
a	0	0
nation.%	0	0
Then	3	0
conquer	3	0
we	3	0
must,	3	0
when	4	0
our	4	0
cause	4	0
it	4	0
is	4	0
just,%	4	0
And	0	0
this	0	0
be	0	0
our	0	0
motto:	0	0
In	1	0
God	1	0
is	1	0
our	1	0
Trust.%	1	0
And	0	0
the	2	0
star-spangled	2	0
banner	2	0
in	2	0
triumph	2	0
shall	2	0
wave%	2	0
O'er	6	0
the	6	0
land	6	0
of	6	0
the	6	0
free	6	0
and	6	0
the	6	0
home	6	0
of	6	0
the	6	0
brave!&%	6	0
